,CONSUMO_CATIVO_CHV,CONSUMO_CATIVO_SHV,CONSUMIDORES_CATIVO_CHV,CONSUMIDORES_CATIVO_SHV,CONSUMO_CATIVO_Residencial,CONSUMO_CATIVO_Industrial,CONSUMO_CATIVO_Comercial,CONSUMO_CATIVO_Outros,CONSUMIDORES_CATIVO_Residencial,CONSUMIDORES_CATIVO_Industrial,CONSUMIDORES_CATIVO_Comercial,CONSUMIDORES_CATIVO_Outros,CONSUMO_LIVRE_CHV,CONSUMO_LIVRE_SHV,CONSUMIDORES_LIVRE_CHV,CONSUMIDORES_LIVRE_SHV,CONSUMO_LIVRE_Residencial,CONSUMO_LIVRE_Industrial,CONSUMO_LIVRE_Comercial,CONSUMO_LIVRE_Outros,CONSUMIDORES_LIVRE_Residencial,CONSUMIDORES_LIVRE_Industrial,CONSUMIDORES_LIVRE_Comercial,CONSUMIDORES_LIVRE_Outros
2004-01-01,18120257.588,5886826.134,53331275,15379129,6780680.373,9066706.879,4220228.79,3939467.68,45430039.0,506577.0,4238307.0,3156352.0,2826557.2909999997,144720.45,195,16,0.0,2942144.434,24608.124,4525.183,0,177,17,1
2004-02-01,18128738.786000002,5504350.164999999,53560192.595,15484829.595,6429337.18,9305783.558,4123008.329,3774959.884,45630099.0,505805.135,4245586.0,3178702.46,2732214.9439999997,142965.4,215,18,0.0,2835632.715,24266.51,15281.119,0,192,20,3
2004-03-01,18429490.582,5780388.120999999,53751078.078999996,15524473,6600338.007,9577173.802,4178482.674,3853884.22,45874005.0,506382.493,4252172.503,3118518.083,2907926.859,166531.61,251,17,0.0,3031239.245,25380.142,17839.082,0,216,21,14
2004-04-01,18918154.514999997,5893731.683,53934062,15650207,6809006.361,9695977.56,4420409.297,3886492.98,46044908.0,506583.0,4261081.0,3121490.0,3067165.279,167129.84600000002,256,17,0.0,3191312.553,26665.397,16317.175,0,230,24,2
2004-05-01,18037960.067,5870398.305000001,53841309,15541481,6477341.432,9539948.329,4074520.282,3816548.329,45965740.0,504642.0,4244656.0,3126271.0,3157482.9680000003,182315.413,277,19,0.0,3292763.612,31199.903,15834.866,0,244,31,2
2004-06-01,17764778.194,5323416.1219999995,53973855,15580535,6291091.533,9159914.93,3807916.881,3829270.972,46078802.0,505236.0,4253483.0,3136334.0,3267499.072,727267.5559999999,308,21,0.0,3947720.332,32083.55,14962.746,0,271,35,2
2004-07-01,17867068.94,4779953.943,54097775,15602028,6292471.042,8654157.049,3856244.627,3844150.165,46185866.0,504296.0,4260038.0,3147575.0,3437759.37,1261222.695,314,24,0.0,4652650.262,30989.54,15342.263,0,278,34,2
2004-08-01,17958670.429,4888812.977,54323121,15750600,6304477.069,8839850.942,3835079.799,3868075.596,46379790.0,504477.0,4274715.0,3164139.0,3529777.009,1279597.523,328,24,0.0,4752490.105,32187.742,24696.685,0,292,33,3
2004-09-01,18460331.057,5015909.626,54403926,15750999,6604390.033,8742969.351,4085830.474,4043050.825,46444030.0,506131.0,4276973.0,3176792.0,3564979.5509999995,1241277.249,358,24,0.0,4717845.673,35490.856,52920.271,0,300,38,20
2004-10-01,18420574.665000003,5068034.905,54797451,15832327,6606513.86,8600233.784,4151351.831,4130510.095,46807640.0,507849.0,4288772.0,3193190.0,3707245.098999999,1314012.597,368,27,0.0,4934498.606,36637.875,50121.215,0,322,38,8
2004-11-01,18240833.382,5160150.005,54701420,15910812,6631190.163,8580400.557,4188595.5,4000797.167,46749980.0,510489.0,4238483.0,3202468.0,3694394.1170000006,1267953.1039999998,364,29,0.0,4875369.189,36580.032,50398.0,0,318,38,8
2004-12-01,18300305.567999996,5217571.24,54842923,15949751,6643371.195,8435115.199,4362831.602,4076558.812,46848803.0,504463.0,4279093.0,3210564.0,3750669.896,1293558.9600000002,368,30,0.0,4956768.347,37304.851,50155.658,0,320,39,9
2005-01-01,17453740.787,5144139.544,55370816,16051910,7118537.783,6978771.254,4445266.061,4055305.233,47310842.0,506179.0,4316767.0,3237028.0,4458981.849,1318574.8479999998,519,51,0.0,5671981.754,47277.828,58297.115,0,470,39,10
2005-02-01,16890043.625,4890607.832,55436106,16067675,6758333.1,6807912.429,4318517.887,3895888.041,47370980.0,504927.0,4315200.0,3244999.0,4852411.557,1254554.649,551,53,0.0,5938627.428,47088.201,121250.577,0,492,40,19
2005-03-01,17271277.969,5016494.028,55625822,16141413,6865215.603,6954888.987,4506507.532,3961159.875,47537195.0,505373.0,4321625.0,3261629.0,4924892.290999999,1345305.1029999994,550,37,0.0,6110372.372,46012.375,113812.647,0,489,41,20
